[2024-03-08 13:21:32.314] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:66:66] Start
[2024-03-08 13:21:32.443] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:7:7] Extractor is being constructed, threads_num: 6, point_num: 200
[2024-03-08 13:21:32.443] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:17:17] Initializing extractor ort env
[2024-03-08 13:21:32.443] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:31:31] Using 6 threads, with graph optimization level 99
[2024-03-08 13:21:32.443] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:35:35] Using CUDA for extractor
[2024-03-08 13:21:33.130] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:50:50] Loading extractor model from /home/lin/Projects/super-vio/models/superpoint.onnx
[2024-03-08 13:21:34.372] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:58:58] Extractor ort env initialized
[2024-03-08 13:21:34.372] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:7:7] Extractor is being constructed, threads_num: 6, point_num: 200
[2024-03-08 13:21:34.372] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:17:17] Initializing extractor ort env
[2024-03-08 13:21:34.372] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:31:31] Using 6 threads, with graph optimization level 99
[2024-03-08 13:21:34.372] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:35:35] Using CUDA for extractor
[2024-03-08 13:21:34.372] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:50:50] Loading extractor model from /home/lin/Projects/super-vio/models/superpoint.onnx
[2024-03-08 13:21:34.416] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:58:58] Extractor ort env initialized
[2024-03-08 13:21:34.416] [MineLog] [info] [/home/lin/Projects/super-vio/src/matcher/matcher.cpp:19:19] Matcher is being created
[2024-03-08 13:21:34.416] [MineLog] [info] [/home/lin/Projects/super-vio/src/matcher/matcher.cpp:41:41] Initializing matcher ort env
[2024-03-08 13:21:34.416] [MineLog] [info] [/home/lin/Projects/super-vio/src/matcher/matcher.cpp:55:55] Using 0 threads, with graph optimization level 99
[2024-03-08 13:21:34.416] [MineLog] [info] [/home/lin/Projects/super-vio/src/matcher/matcher.cpp:59:59] Using CUDA for matcher
[2024-03-08 13:21:34.416] [MineLog] [info] [/home/lin/Projects/super-vio/src/matcher/matcher.cpp:74:74] Loading matcher model from /home/lin/Projects/super-vio/models/superpoint_lightglue_fused_fp16.onnx
[2024-03-08 13:21:34.644] [MineLog] [info] [/home/lin/Projects/super-vio/src/matcher/matcher.cpp:78:78] Matcher model loaded
[2024-03-08 13:21:34.644] [MineLog] [info] [/home/lin/Projects/super-vio/src/matcher/matcher.cpp:82:82] Matcher ort env initialized
[2024-03-08 13:21:35.576] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:107:107] inference extractor time consumed: 929.266988
[2024-03-08 13:21:35.577] [MineLog] [info] [/home/lin/Projects/super-vio/src/extractor/extractor.cpp:107:107] inference extractor time consumed: 929.677694
[2024-03-08 13:21:35.591] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [-0.34342421208106305, -0.22094744736303334, 0.6150681729066538]
[2024-03-08 13:21:35.591] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [-0.0938769447391974, -0.17074961496189572, 0.4730458180229645]
[2024-03-08 13:21:35.591] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [-0.04971551163662096, -0.17083968916432019, 0.4732953433744148]
[2024-03-08 13:21:35.591] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [-0.44772851393890617, -0.23330418721962756, 0.6622411789133099]
[2024-03-08 13:21:35.591] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [-0.003922402206667277, -0.17163913152582264, 0.48011533665485845]
[2024-03-08 13:21:35.591] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [0.039837390609757196, -0.1724557995471505, 0.4871173661485862]
[2024-03-08 13:21:35.591] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [-0.4294963849981466, -0.22876981548398373, 0.6623899578619162]
[2024-03-08 13:21:35.591] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [0.13124813397594168, -0.1719391305294857, 0.49535409889249254]
[2024-03-08 13:21:35.591] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [0.1768383827587468, -0.16881103989564172, 0.48878275532176424]
[2024-03-08 13:21:35.592] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [0.22065109526128376, -0.1694640350017791, 0.4882161155552738]
[2024-03-08 13:21:35.592] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [0.26658544451912275, -0.16886093262935623, 0.4889209764057365]
[2024-03-08 13:21:35.592] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [0.3132425921716093, -0.17036474614677335, 0.49575609280668476]
[2024-03-08 13:21:35.592] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [0.390324582049338, -0.1727636444841924, 0.5184058945384178]
[2024-03-08 13:21:35.592] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [-0.44156566603129077, -0.20867312106815036, 0.6498003228377722]
[2024-03-08 13:21:35.592] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [-0.39740578871220744, -0.21157759871109016, 0.6624112418437107]
[2024-03-08 13:21:35.592] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [-0.41679846039121493, -0.2030409582754388, 0.6497714503184997]
[2024-03-08 13:21:35.592] [MineLog] [info] [/home/lin/Projects/super-vio/node/offline_node.cpp:171:171] Triangulate success. Point: [-0.3842244740497798, -0.21108010678326308, 0.675498256915853]
